DRY_RUN_ID,CURRENT_TIMESTAMP,STEP_NAME,RESOURCE_NAME,MAX_CPU,AVG_CPU,MAX_MEM
112,2.02411E+13,01-01-retrieve,fog3,9.9,3.3,21.75
112,2.02411E+13,01-02-prepare-and-store,fog3,25.9,6.475,77.891
112,2.02411E+13,02-01-retrieve,fog3,29.7,11.3071,15.75
112,2.02411E+13,02-02-slice,fog3,99.8,49.85,80.328
112,2.02411E+13,02-03-prepare,fog3,101.8,70.7536,106.84
113,2.02411E+13,01-01-retrieve,cloud1,9.9,1.65,9.25
113,2.02411E+13,01-02-prepare-and-store,cloud1,41.9,10.475,78.414
113,2.02411E+13,02-01-retrieve,cloud1,88.8,29.55,18.875
113,2.02411E+13,02-02-slice,cloud1,99.6,49.8,80.227
113,2.02411E+13,02-03-prepare,cloud1,101.7,74.0215,106.461
114,2.02411E+13,01-01-retrieve,cloud2,9.9,1.65,12.5
114,2.02411E+13,01-02-prepare-and-store,cloud2,37.9,9.475,78.301
114,2.02411E+13,02-01-retrieve,cloud2,98.5,31.1667,22.125
114,2.02411E+13,02-02-slice,cloud2,101.7,56.6857,79.801
114,2.02411E+13,02-03-prepare,cloud2,159.5,78.8149,106.449
115,2.02411E+13,01-01-retrieve,cloud3,9.9,2.82857,22.75
115,2.02411E+13,01-02-prepare-and-store,cloud3,51.8,12.95,77.918
115,2.02411E+13,02-01-retrieve,cloud3,96.3,37.5429,20.75
115,2.02411E+13,02-02-slice,cloud3,99.6,49.4667,79.938
115,2.02411E+13,02-03-prepare,cloud3,101.7,75.4894,106.309
116,2.02411E+13,01-01-retrieve,cloud4,9.9,3.3,21.125
116,2.02411E+13,01-02-prepare-and-store,cloud4,41.9,10.475,77.895
116,2.02411E+13,02-01-retrieve,cloud4,98.6,45.9833,22.5
116,2.02411E+13,02-02-slice,cloud4,99.6,49.8,79.914
116,2.02411E+13,02-03-prepare,cloud4,101.7,72.7902,106.727
117,2.02411E+13,01-01-retrieve,cloud5,9.9,4.24286,23
117,2.02411E+13,01-02-prepare-and-store,cloud5,47.9,11.975,77.516
117,2.02411E+13,02-01-retrieve,cloud5,108.4,44.375,23.125
117,2.02411E+13,02-02-slice,cloud5,101.6,56.3714,79.625
117,2.02411E+13,02-03-prepare,cloud5,101.7,75.1185,105.547
